name,is_enabled,description,comment,src_file,group,priority,confidence,criticalness
class_high_cpu_at_la,1,Слишком высокая загрузка процессора при данном уровне loadavg,При данном значении loadavg загрузка процессора обычно ниже.,classes.py,general_efficiency,1,2,3
class_less_suspicious,1,Задача слабо использует вычислительные ресурсы СК,"Средняя загрузка процессора и средний load average меньше нормальной загрузки при 4 активных процессах на узле; загрузка ГПУ также низкая. Либо загрузка ГПУ повыше, тогда меньше нормальной загрузки при 1 активном процессе на узле.",classes.py,general_efficiency,1,3,3
class_low_cpu_at_la,1,Слишком низкая загрузка процессора при данном уровне loadavg,При данном значении loadavg загрузка процессора обычно заметно выше.,classes.py,general_efficiency,1,2,3
class_sc_appropriate,1,Задача хорошо использует ресурсы СК,"Средний load average оптимальный, также задача активно использует MPI.",classes.py,general_efficiency,1,4,1
class_suspicious,1,Задача практически не использует вычислительные ресурсы СК,Средняя загрузка процессора и средний load average меньше нормальной загрузки при 1 активном процессе на узле; загрузка ГПУ также низкая. ,classes.py,general_efficiency,2,4,4
class_gpu_hybrid_good,1,Задача хорошо испольует и GPU и CPU,Загрузка ГПУ и загрузка процессора достаточно высока.,classes.py,gpu_based,1,3,1
class_gpu_pure,1,Задача использует только GPU,"Загрузка ГПУ очень высока, загрузка процессора низка.",classes.py,gpu_based,1,3,3
class_low_ib_high_gpu,1,"Задача активно испольузет GPU, а узлы мало общаются между собой","Задача задействует более 1 узла, загрузка ГПУ высока, но задача слабо использует MPI.",classes.py,gpu_based,1,3,2
class_short,1,Короткая задача (< 15 минут),"Задачи с данным тегом выполняются очень недолго, поэтому не представляют большого интереса для анализа эффективности.",classes.py,job_duration,1,5,1
class_super_short,1,Очень короткая задача (< 6 минут),"Задачи с данным тегом не могут быть проанализированы, поскольку для них не собираются данные системного монтиоринга.",classes.py,job_duration,2,5,1
class_bad_locality,1,Задача имеет низкую локальность обращений в память,"Соотношение интенсивности (load+store) операций к L1 кэш-промахам, а также соотношение L1 к L3 кэш-промахам небольшое.",classes.py,memory_based,1,3,3
class_data_intensive,1,Задача активно работает с памятью,Интенсивность выполнения операций чтения или записи высока.,classes.py,memory_based,1,4,1
class_good_locality,1,Задача имеет высокую локальность обращений в память,"Соотношение интенсивности (load+store) операций к L1 кэш-промахам, а также соотношение L1 к L3 кэш-промахам достаточно большое.",classes.py,memory_based,1,3,1
class_low_avg_mem_usage,1,Слишком низкая интенсивность работы с памятью.,Подозрительно низкая интенсивность работы с памятью при текущих нормальных остальных параметрах задачи.,classes.py,memory_based,1,2,2
class_weird_locality,1,Задача имеет необычную локальность обращений в память,"Соотношение интенсивности (load+store) операций к L1 кэш-промахам большое, а соотношение L1 к L3 кэш-промахам небольшое (что странно, такого вроде не должно быть).",classes.py,memory_based,1,3,2
class_comm_data,1,В задаче много MPI коммуникаций,Задача активно использует MPI.,classes.py,MPI_based,1,4,1
class_comm_packets,1,Задача шлёт много MPI пакетов,"Задача не очень активно использует MPI, однако передается (или получается) много MPI пакетов.",classes.py,MPI_based,1,3,2
class_not_comm,1,В задаче мало MPI коммуникаций,"Задача задействует несколько узлов, однако между ними практически нет передачи MPI сообщений.",classes.py,MPI_based,1,3,3
class_serial,1,Одноядерная задача,"Задача задействует один узел, и средний load average примерно равен 1.",classes.py,serial_like_jobs,2,4,2
class_single,1,Одноузловая задача,Задача задействует один узел.,classes.py,serial_like_jobs,1,4,1